main_key,sub_key,ko,en
item.strategic.taeul_healing_formation,name,태을 치유진,Taeul Healing Formation
item.strategic.taeul_healing_formation,desc,6초간 초당 최대 HP 5% 회복,Restores 5% of max HP per second for 6 seconds
item.strategic.ten_thousand_thunder_charm,name,만뢰부,Ten Thousand Thunder Charm
item.strategic.ten_thousand_thunder_charm,desc,낙뢰 8회 생성\n낙뢰당 120 피해,Summons 8 lightning strikes\nEach strike deals 120 damage
item.strategic.soulbreaking_formation,name,사혼진,Soulbreaking Formation
item.strategic.soulbreaking_formation,desc,6초간 반경 10m 적 이동속도 80% 감소,Reduces movement speed of enemies within 10m by 80% for 6 seconds
item.strategic.wind_demon_pull,name,풍마인,Wind Demon Pull
item.strategic.wind_demon_pull,desc,지정 위치로 주변 적 강제 끌어당김\n끌려온 적 2초 속박,Forcefully pulls nearby enemies to the target position\nRoots pulled enemies for 2 seconds
item.strategic.heavenfall_thunder,name,천뢰낙,Heavenfall Thunder
item.strategic.heavenfall_thunder,desc,지정 위치에 초대형 낙뢰\n반경 10m에 750 피해,Summons a massive lightning strike at the target position\nDeals 750 damage within 10m
item.strategic.golden_chain_formation,name,금쇄진,Golden Chain Formation
item.strategic.golden_chain_formation,desc,반경 10m 적 정지\n지속시간 3초,Stops enemies within 10m\nDuration 3 seconds
item.strategic.night_parade_of_a_thousand_ghosts,name,만귀야행,Night Parade of a Thousand Ghosts
item.strategic.night_parade_of_a_thousand_ghosts,desc,10초간 원혼이 적 자동 추적\n초당 220 피해,Summons vengeful spirits that automatically chase enemies for 10 seconds\nDeals 220 damage per second
item.strategic.nine_heavens_thunderfall_formation,name,구천멸뢰진,Nine Heavens Thunderfall Formation
item.strategic.nine_heavens_thunderfall_formation,desc,전장 전체에 낙뢰 폭격\n총 20회 낙뢰\n낙뢰당 240 피해\n시전 후 5초간 게이지 충전 불가,Bombards the entire battlefield with lightning\nA total of 20 lightning strikes\nEach strike deals 240 damage\nGauge cannot be charged for 5 seconds after casting
item.relic.frozen_nail,name,얼어붙은 못,Frozen Nail
item.relic.frozen_nail,desc,공격 시 12% 확률로 냉기 상태 부여\n이동속도 15% 감소\n2초 지속,12% chance to inflict Chill on hit\nMovement Speed -15%\nDuration: 2 seconds
item.relic.toxic_pouch,name,독성 주머니,Toxic Pouch
item.relic.toxic_pouch,desc,공격 시 15% 확률로 중독 상태 부여\n초당 공격력의 8% 피해\n3초 지속,15% chance to inflict Poison on hit\nDeals damage equal to 8% of Attack Power per second\nDuration: 3 seconds
item.relic.ember_necklace,name,불씨 목걸이,Ember Necklace
item.relic.ember_necklace,desc,공격 시 10% 확률로 화상 상태 부여\n공격력 15% 감소\n3초 지속,10% chance to inflict Burn on hit\nAttack Power -15%\nDuration: 3 seconds
item.relic.electric_crystal,name,전기 수정,Electric Crystal
item.relic.electric_crystal,desc,공격 시 8% 확률로 감전 상태 부여\n0.5초 동안 행동 불가,8% chance to inflict Shock on hit\nStuns the target for 0.5 seconds
item.relic.blunt_gear,name,무딘 톱니,Blunt Gear
item.relic.blunt_gear,desc,공격한 적을 짧게 밀쳐냄\n넉백 거리 0.4m,Knocks enemies back on hit\nKnockback Distance: 0.4m
item.relic.red_feather,name,붉은 깃털,Red Feather
item.relic.red_feather,desc,공격속도 +8%,Attack Speed +8%
item.relic.golden_fang,name,금빛 이빨,Golden Fang
item.relic.golden_fang,desc,적 처치 시 6% 확률로 추가 골드 드랍\n기본 골드의 100%,6% chance to drop bonus gold on kill\nBonus Gold: 100% of base gold
item.relic.old_war_horn,name,낡은 뿔피리,Old War Horn
item.relic.old_war_horn,desc,엘리트 몬스터 근처에서 이동속도 +12%\n범위 8m,Movement Speed +12% near Elite Monsters\nRange: 8m
item.relic.spiked_carapace,name,뾰족한 갑각,Spiked Carapace
item.relic.spiked_carapace,desc,공격을 받으면 데미지의 15% 반사 피해,Reflects 15% of received damage back to the attacker
item.relic.black_incense_candle,name,검은 향초,Black Incense Candle
item.relic.black_incense_candle,desc,잃은 HP 1%당 공격력 +0.2%,Gain +0.2% Attack Power for every 1% HP lost
shop.pool.strategic.common,name,전략 스킬,strategic skill
shop.pool.relic.common,name,유물,relic
character.npc.dokkaebi,name,도깨비,Dokkaebi
character.npc.restless_spirit,name,망령,Restless Spirit
character.npc.oni_soldier,name,귀면병,Oni Soldier
enum.SkillStatModifierType.BaseDamage,name,데미지,Damage
enum.SkillStatModifierType.AttackPercentDamage,name,공격력 퍼센트 데미지,Attack Percent Damage
enum.SkillStatModifierType.Cooldown,name,쿨타임,Cooldown
enum.SkillStatModifierType.Range,name,사정거리,Range
enum.SkillStatModifierType.SplitHitCount,name,타격 수,Hit Count
enum.SkillStatModifierType.ProjectileCount,name,투사체 수,Projectile Count
enum.SkillStatModifierType.ProjectileScale,name,범위 크기,Area Size
