main_key,sub_key,ko,en
presentation.operation.Multiply,name,배율,Multiply
presentation.cooldown_change.Reduce,name,감소,Reduction
presentation.cooldown_change.Increase,name,증가,Increase
presentation.periodic_rate.PerSecond,name,초당,Per Second
presentation.periodic_rate.PerTick,name,틱당,Per Tick
presentation.boolean.True,name,적용,Yes
presentation.boolean.False,name,미적용,No
presentation.cast_move.DashForward,name,전방 돌진,Dash Forward
presentation.cast_move.DashBackward,name,후방 이동,Dash Backward
presentation.cast_move.MoveToTarget,name,대상에게 이동,Move to Target
presentation.cast_move.MoveAwayFromTarget,name,대상에게서 이탈,Move Away from Target
presentation.arrangement.Spread,name,분산,Spread
presentation.arrangement.Line,name,일렬,Line
presentation.arrangement.Circle,name,원형,Circle
presentation.tag.Active,name,액티브,Active
presentation.tag.Passive,name,패시브,Passive
presentation.tag.Attack,name,공격,Attack
presentation.tag.Support,name,지원,Support
presentation.tag.Defense,name,방어,Defense
presentation.tag.Heal,name,회복,Heal
presentation.tag.Control,name,제어,Control
presentation.tag.Buff,name,강화,Buff
presentation.tag.Debuff,name,약화,Debuff
presentation.tag.Utility,name,보조,Utility
presentation.tag.Self,name,자신,Self
presentation.tag.Ally,name,아군,Ally
presentation.tag.Enemy,name,적,Enemy
presentation.tag.Party,name,파티,Party
presentation.tag.Point,name,지점,Point
presentation.tag.Common,name,일반,Common
presentation.tag.Rare,name,희귀,Rare
presentation.tag.Epic,name,영웅,Epic
presentation.tag.Legendary,name,전설,Legendary
presentation.tag.Offense,name,공격,Offense
presentation.tag.Economy,name,경제,Economy
presentation.tag.Survival,name,생존,Survival
presentation.tag.Special,name,특수,Special
presentation.tag.Permanent,name,영구,Permanent
presentation.tag.NextBattle,name,다음 전투,Next Battle
presentation.tag.BattleCount,name,전투 횟수,Battle Count
presentation.tag.Life,name,생명,Life
presentation.tag.War,name,전쟁,War
presentation.tag.Greed,name,탐욕,Greed
presentation.tag.Dark,name,어둠,Dark
presentation.stat.Attack,name,공격력,Attack
presentation.stat.AttackPercent,name,공격력 비율,Attack Percentage
presentation.stat.Defense,name,방어력,Defense
presentation.stat.Hp,name,현재 체력,Current Health
presentation.stat.HpRegenMaxHpPercent,name,최대 체력 비례 회복,Max-health Regeneration
presentation.stat.LifeSteal,name,흡혈,Lifesteal
presentation.stat.LowHpDefenseBonus,name,낮은 체력 방어 보너스,Low-health Defense Bonus
presentation.stat.MissingHpFinalDamageAmplify,name,잃은 체력 비례 최종 피해,Missing-health Damage Amplification
presentation.stat.MoveSpeedPercent,name,이동속도 비율,Movement Speed Percentage
presentation.stat.RootDuration,name,속박 지속시간,Root Duration
presentation.stat.StunDuration,name,기절 지속시간,Stun Duration
presentation.stat.SurroundedAttackPercent,name,포위 시 공격력 비율,Surrounded Attack Percentage
presentation.stat.SurroundedDamageReductionPercent,name,포위 시 피해 감소율,Surrounded Damage Reduction
presentation.group.character_stats,name,캐릭터 능력치,Character Stats
presentation.tag.Npc,name,NPC,NPC
presentation.tag.Boss,name,보스,Boss
presentation.tag.Player,name,플레이어,Player
presentation.tag.SoldierBase,name,기본 병사,Base Soldier
presentation.tag.ArcherBase,name,기본 궁수,Base Archer
presentation.tag.ScholarBase,name,기본 학자,Base Scholar
presentation.tag.MonkBase,name,기본 승려,Base Monk
presentation.stat.MaxHp,name,최대 체력,Maximum Health
presentation.stat.AttackSpeed,name,공격 속도,Attack Speed
presentation.stat.CritChance,name,치명타 확률,Critical Chance
presentation.stat.CritDamage,name,치명타 피해,Critical Damage
presentation.stat.MoveSpeed,name,이동 속도,Movement Speed
presentation.format.multiplier,name,{0}배,{0}x
presentation.inventory.owned_effects,name,보유 효과,Owned Effects
presentation.inventory.category.relic,name,유물,Relics
presentation.inventory.category.general_bless,name,일반 축복,General Blesses
presentation.inventory.category.faith_bless,name,신앙 축복,Faith Blesses
presentation.faith.page_title,name,신앙 도감,Faith Encyclopedia
presentation.faith.current_level_effects,name,현재 레벨 신앙 효과,Current Faith Effects
presentation.faith.next_level_effects,name,다음 레벨 신앙 효과,Next-Level Faith Effects
presentation.faith.next_level.none,name,최대 레벨입니다,Maximum Faith Level
presentation.faith.effect_data.pending,name,신앙 효과 데이터 연결 대기,Faith effect data pending
presentation.faith.empty,name,획득한 신앙이 없습니다,No acquired Faith
presentation.faith.level_format,name,신앙 Lv.{0},Faith Lv.{0}
presentation.faith.state.active,name,활성,Active
presentation.faith.state.locked,name,고정,Locked
presentation.faith.state.inactive,name,비활성,Inactive
presentation.faith.change.strengthened,name,강화,Strengthened
presentation.faith.change.newly_unlocked,name,신규 획득,Newly Acquired
presentation.faith.change.unchanged,name,변경 없음,Unchanged
