main_key,sub_key,ko,en
bless.faith.astral.basic.level_10,desc,15초마다 2.5초 무적,
bless.faith.combat.exclusive_1,name,5단계 추가 효과,
bless.faith.combat.exclusive_1,desc,공격력 30 증가,
bless.faith.combat.exclusive_2,name,8단계 추가 효과,
bless.faith.combat.exclusive_2,desc,공격력 50 증가,
bless.faith.arcane.exclusive_1,name,5단계 추가 효과,
bless.faith.arcane.exclusive_1,desc,공격력 30 증가,
bless.faith.arcane.exclusive_2,name,8단계 추가 효과,
bless.faith.arcane.exclusive_2,desc,스킬 쿨타임 초기화 확률 +3% 추가 증가,
bless.faith.astral.exclusive_1,name,5단계 추가 효과,
bless.faith.astral.exclusive_1,desc,방어력 30 증가,
bless.faith.astral.exclusive_2,name,8단계 추가 효과,
bless.faith.astral.exclusive_2,desc,무적 종료 후 3초간 받는 피해 15 감소 버프,
