main_key,sub_key,ko,en
item.strategic.soul_snare_formation,description,반경 8m 안의 적을 2초간 속박한다.,
item.strategic.crushing_war_cry,name,파쇄격령,
item.strategic.crushing_war_cry,description,8초간 모든 아군 공격력을 40 증가시킨다.,
item.strategic.taeul_healing_formation,name,태을 치유진,
item.strategic.taeul_healing_formation,description,모든 아군이 6초 동안 매초 최대 체력의 0.8333%를 회복한다.,
item.strategic.soulbreaking_formation,name,사혼진,
item.strategic.soulbreaking_formation,description,6초간 반경 8m 안의 적 이동속도를 80% 감소시킨다.,
item.strategic.wind_demon_pull,name,풍마인,
item.strategic.wind_demon_pull,description,지정 위치 반경 8m 안의 모든 적을 중심으로 끌어당긴 뒤 2초간 속박한다.,
item.strategic.golden_chain_formation,name,금쇄진,
item.strategic.golden_chain_formation,description,반경 8m 안의 적을 3초간 기절시킨다.,
item.strategic.nine_heavens_thunderfall_formation,name,구천멸뢰진,
item.strategic.nine_heavens_thunderfall_formation,description,지정 위치 주변 반경 5m 안에 낙뢰 20개를 0.1초 간격으로 떨어뜨린다. 각 낙뢰는 반경 2m 안의 모든 적에게 240 피해를 준다.,
item.strategic.blackwind_bomb,description,지정 위치 반경 6m 안의 모든 적에게 240 피해를 주고 바깥 방향으로 밀어낸다.,
item.strategic.heavenfall_thunder,description,지정 위치 반경 10m 안의 모든 적에게 750 피해를 한 번 준다.,
item.relic.black_incense_candle,name,검은 향초,
item.relic.black_incense_candle,desc,잃은 체력 1%마다 공격력이 0.2% 증가한다.,
item.relic.blunt_gear,name,무딘 톱니,
item.relic.blunt_gear,desc,공격에 적중한 적을 공격 지점 바깥 방향으로 최종 0.4m 밀어낸다.,
item.relic.electric_crystal,name,전기 수정,
item.relic.electric_crystal,desc,공격 적중 시 8% 확률로 대상에게 감전 상태를 부여해 0.5초 동안 행동할 수 없게 한다.,
item.relic.ember_necklace,name,불씨 목걸이,
item.relic.ember_necklace,desc,"공격 적중 시 10% 확률로 대상에게 화상 상태를 부여한다. 화상 상태인 대상은 공격력이 15% 감소하며 3초 동안 유지된다. 화상은 중첩되지 않으며, 재발동하면 수치가 누적되지 않고 지속시간만 3초로 갱신된다. 화상 약화 효과는 3초가 지나면 종료된다.",
item.relic.frozen_nail,name,얼어붙은 못,
item.relic.frozen_nail,desc,"공격 적중 시 12% 확률로 대상에게 냉기 상태를 부여한다. 냉기 상태인 대상은 이동속도가 15% 감소하며 2초 동안 유지된다. 냉기는 중첩되지 않으며, 재발동하면 수치가 누적되지 않고 지속시간만 2초로 갱신된다. 냉기 감속 효과는 2초가 지나면 종료된다.",
item.relic.golden_fang,name,금빛 이빨,
item.relic.golden_fang,desc,"장착한 캐릭터가 적을 처치할 때 6% 확률로 발동하며, 해당 적의 기본 골드 획득량과 같은 양의 추가 골드를 얻는다.",
item.relic.old_war_horn,name,낡은 뿔피리,
item.relic.old_war_horn,desc,정예 몬스터의 8m 안에 있는 동안 이동속도가 12% 증가한다.,
item.relic.red_feather,name,붉은 깃털,
item.relic.red_feather,desc,공격속도가 8% 증가한다.,
item.relic.spiked_carapace,name,뾰족한 갑각,
item.relic.spiked_carapace,desc,받은 피해의 15%를 공격자에게 반사 피해로 되돌려준다.,
item.relic.toxic_pouch,name,독성 주머니,
item.relic.toxic_pouch,desc,"공격 적중 시 15% 확률로 대상에게 중독 상태를 부여한다. 중독된 대상은 3초 동안 매초 장착 캐릭터 공격력의 8%에 해당하는 피해를 받는다. 중독은 중첩되지 않으며, 재발동하면 초당 피해 수치가 누적되지 않고 지속시간만 3초로 갱신된다. 중독 지속 피해는 3초가 지나면 종료된다.",
item.strategic.blackwind_bomb,desc,지정 위치 반경 6m 안의 모든 적에게 240 피해를 주고 바깥 방향으로 밀어낸다.,
item.strategic.blood_meridian_release,desc,모든 아군의 현재 체력을 10% 소모하고 재사용 대기시간을 20% 감소시킨다.,
item.strategic.crushing_war_cry,desc,8초간 모든 아군 공격력을 40 증가시킨다.,
item.strategic.demon_lure_incense,desc,지정 위치에 향로를 설치해 반경 6m 안의 모든 적을 6초간 도발하고 향로 위치로 유인한다.,
item.strategic.emergency_pill,desc,지정 위치 반경 1m 안의 모든 아군이 각각 체력 30을 즉시 회복한다.,
item.strategic.flash_charm,desc,지정 위치 반경 4m 안에서 효과가 먼저 닿은 적 1명을 1초간 기절시킨다.,
item.strategic.frost_spirit_formation,desc,6초간 범위 내 적의 이동속도를 60% 감소시킨다.,
item.strategic.gale_step,desc,4초간 모든 아군 이동속도 +20%,
item.strategic.ghost_soul_charm,desc,8초간 모든 아군의 흡혈을 12%p 증가시킨다.,
item.strategic.golden_chain_formation,desc,반경 8m 안의 적을 3초간 기절시킨다.,
item.strategic.heavenfall_thunder,desc,지정 위치 반경 10m 안의 모든 적에게 750 피해를 한 번 준다.,
item.strategic.ironbody_call,desc,5초간 모든 아군 방어력을 20 증가시킨다.,
item.strategic.night_parade_of_a_thousand_ghosts,desc,지정 위치 주변에 유도 귀신 20개를 소환한다. 각 귀신은 가장 가까운 적을 추적해 적중 시 110 피해를 준다.,
item.strategic.nine_heavens_thunderfall_formation,desc,지정 위치 주변 반경 5m 안에 낙뢰 20개를 0.1초 간격으로 떨어뜨린다. 각 낙뢰는 반경 2m 안의 모든 적에게 240 피해를 준다.,
item.strategic.soul_snare_formation,desc,반경 8m 안의 적을 2초간 속박한다.,
item.strategic.soulbreaking_formation,desc,6초간 반경 8m 안의 적 이동속도를 80% 감소시킨다.,
item.strategic.taeul_healing_formation,desc,모든 아군이 6초 동안 매초 최대 체력의 0.8333%를 회복한다.,
item.strategic.ten_thousand_thunder_charm,desc,지정 위치 주변 반경 2m에 낙뢰 8회를 분산시켜 각 지점 반경 1m 안의 모든 적에게 회당 120 피해를 준다.,
item.strategic.thundercrash_orb,desc,지정 위치 반경 5m 안의 모든 적에게 140 피해를 한 번 주고 1초간 기절시킨다.,
item.strategic.wind_demon_pull,desc,지정 위치 반경 8m 안의 모든 적을 중심으로 끌어당긴 뒤 2초간 속박한다.,
