registry	unit	frame	side	bbox	component_area_in_cell	donor_neighbor	flags
vfx	g1/hit1	F1	right	[71, 51, 185, 197]	22029	F2:65930px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F1	left	[71, 51, 185, 197]	30904	F0:8398px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F2	right	[70, 24, 186, 224]	3670	F3:98113px,F4:37220px,F5:194px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F2	left	[70, 24, 186, 224]	65930	F1:22029px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F3	left,right	[73, 62, 182, 198]	98113	F2:3670px,F4:37220px,F5:194px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F4	left,right	[62, 36, 193, 232]	37220	F2:3670px,F3:98113px,F5:194px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit1	F5	left	[43, 46, 213, 232]	194	F2:3670px,F3:98113px,F4:37220px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F0	right	[59, 39, 197, 175]	811	F1:32782px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F1	right	[48, 31, 207, 226]	7413	F2:71472px,F3:135411px,F4:7060px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F1	left	[48, 31, 207, 226]	32782	F0:811px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F2	left,right	[69, 32, 187, 214]	71472	F1:7413px,F3:135411px,F4:7060px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F2	right	[69, 32, 187, 214]	321	F3:6px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F3	left,right	[72, 46, 183, 217]	135411	F1:7413px,F2:71472px,F4:7060px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F3	left	[72, 46, 183, 217]	6	F2:321px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F3	right	[72, 46, 183, 217]	1	F4:2px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F4	left	[64, 38, 192, 232]	7060	F1:7413px,F2:71472px,F3:135411px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F4	right	[64, 38, 192, 232]	44034	F5:302px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F4	left	[64, 38, 192, 232]	2	F3:1px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g1/hit2	F5	left	[40, 36, 212, 196]	302	F4:44034px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F0	right	[54, 33, 205, 214]	5789	F1:24912px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F1	right	[61, 28, 194, 226]	11689	F2:60510px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F1	left	[61, 28, 194, 226]	24912	F0:5789px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F2	right	[71, 25, 184, 215]	4366	F3:89823px,F4:47516px,F5:1732px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F2	left	[71, 25, 184, 215]	60510	F1:11689px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F3	left,right	[76, 25, 179, 230]	89823	F2:4366px,F4:47516px,F5:1732px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F4	left,right	[74, 24, 181, 232]	47516	F2:4366px,F3:89823px,F5:1732px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F4	right	[74, 24, 181, 232]	2	F5:2px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F5	left	[68, 76, 180, 203]	1732	F2:4366px,F3:89823px,F4:47516px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit1	F5	left	[68, 76, 180, 203]	2	F4:2px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F0	right	[70, 75, 185, 232]	2302	F1:53152px,F2:89785px,F3:147889px,F4:56455px,F5:2490px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F1	left,right	[72, 25, 183, 232]	53152	F0:2302px,F2:89785px,F3:147889px,F4:56455px,F5:2490px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F2	left,right	[74, 36, 181, 209]	89785	F0:2302px,F1:53152px,F3:147889px,F4:56455px,F5:2490px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F3	left,right	[71, 34, 184, 221]	147889	F0:2302px,F1:53152px,F2:89785px,F4:56455px,F5:2490px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F4	left,right	[72, 47, 184, 219]	56455	F0:2302px,F1:53152px,F2:89785px,F3:147889px,F5:2490px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g2/hit2	F5	left	[62, 41, 188, 230]	2490	F0:2302px,F1:53152px,F2:89785px,F3:147889px,F4:56455px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F0	right	[58, 123, 197, 230]	10554	F1:42888px,F2:53511px,F3:76621px,F4:86521px,F5:30226px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F1	left,right	[57, 29, 199, 216]	42888	F0:10554px,F2:53511px,F3:76621px,F4:86521px,F5:30226px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F2	left,right	[61, 35, 195, 203]	53511	F0:10554px,F1:42888px,F3:76621px,F4:86521px,F5:30226px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F2	right	[61, 35, 195, 203]	80	F3:20px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F3	left,right	[68, 62, 187, 214]	76621	F0:10554px,F1:42888px,F2:53511px,F4:86521px,F5:30226px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F3	left	[68, 62, 187, 214]	20	F2:80px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F4	left,right	[72, 35, 184, 231]	86521	F0:10554px,F1:42888px,F2:53511px,F3:76621px,F5:30226px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F4	right	[72, 35, 184, 231]	26	F5:119px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F4	right	[72, 35, 184, 231]	93	F5:39px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F4	right	[72, 35, 184, 231]	24	F5:62px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F5	left	[67, 26, 188, 227]	30226	F0:10554px,F1:42888px,F2:53511px,F3:76621px,F4:86521px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F5	left	[67, 26, 188, 227]	119	F4:26px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F5	left	[67, 26, 188, 227]	39	F4:93px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit1	F5	left	[67, 26, 188, 227]	62	F4:24px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F0	right	[58, 91, 198, 176]	3864	F1:30219px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F0	right	[58, 91, 198, 176]	2	F1:1px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F1	right	[49, 26, 207, 231]	3541	F2:60446px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F1	left	[49, 26, 207, 231]	30219	F0:3864px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F1	left	[49, 26, 207, 231]	1	F0:2px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F2	left	[63, 26, 193, 228]	60446	F1:3541px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F3	right	[69, 55, 187, 208]	63251	F4:75907px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F4	left	[73, 51, 182, 196]	75907	F3:63251px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F4	right	[73, 51, 182, 196]	390	F5:22215px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
vfx	g3/hit2	F5	left	[66, 24, 178, 208]	22215	F4:390px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
