visualPhaseId	parentSkillId	identityType	subfamily	paletteCode	signatureName	signatureHex	auxiliaryName	auxiliaryHex	grade	renderState	coverageRule
skill.character.yujin.1.active_1.multi_shot.visual	skill.character.yujin.1.active_1.multi_shot	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G1	R	signature60-82_aux18-40_other0
skill.character.yujin.1.basic_attack.basic_attack.visual	skill.character.yujin.1.basic_attack.basic_attack	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G1	R	signature60-82_aux18-40_other0
skill.character.yujin.2.active_1.multi_shot.visual	skill.character.yujin.2.active_1.multi_shot	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G2	R	signature60-82_aux18-40_other0
skill.character.yujin.2.active_2.hwalbin_barrage.visual	skill.character.yujin.2.active_2.hwalbin_barrage	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G2	R	signature60-82_aux18-40_other0
skill.character.yujin.2.basic_attack.basic_attack.visual	skill.character.yujin.2.basic_attack.basic_attack	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G2	R	signature60-82_aux18-40_other0
skill.character.yujin.3.active_1.multi_shot.visual	skill.character.yujin.3.active_1.multi_shot	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.yujin.3.active_2.hwalbin_barrage.visual	skill.character.yujin.3.active_2.hwalbin_barrage	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.yujin.3.basic_attack.basic_attack.visual	skill.character.yujin.3.basic_attack.basic_attack	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.yujin.3.clone.active_1.multi_shot.visual	skill.character.yujin.3.clone.active_1.multi_shot	root	P-A	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.jihan.1.active_1.medicine_prescription.visual	skill.character.jihan.1.active_1.medicine_prescription	root	H-R	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G1	R	signature60-82_aux18-40_other0
skill.character.jihan.1.passive_1.blood_qi_circulation.visual	skill.character.jihan.1.passive_1.blood_qi_circulation	root	H-B	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G1	NR	signature60-82_aux18-40_other0
skill.character.jihan.2.active_1.medicine_prescription.visual	skill.character.jihan.2.active_1.medicine_prescription	root	H-R	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G2	R	signature60-82_aux18-40_other0
skill.character.jihan.2.active_2.ten_tonic_soup.visual	skill.character.jihan.2.active_2.ten_tonic_soup	root	H-B	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G2	R	signature60-82_aux18-40_other0
skill.character.jihan.2.passive_1.blood_qi_circulation.visual	skill.character.jihan.2.passive_1.blood_qi_circulation	root	H-B	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G2	NR	signature60-82_aux18-40_other0
skill.character.jihan.3.active_1.medicine_prescription.visual	skill.character.jihan.3.active_1.medicine_prescription	root	H-R	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G3	R	signature60-82_aux18-40_other0
skill.character.jihan.3.active_2.ten_tonic_soup.visual	skill.character.jihan.3.active_2.ten_tonic_soup	root	H-B	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G3	R	signature60-82_aux18-40_other0
skill.character.jihan.3.active_3.divine_acupuncture.visual	skill.character.jihan.3.active_3.divine_acupuncture	root	H-R	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G3	R	signature60-82_aux18-40_other0
skill.character.jihan.3.passive_1.blood_qi_circulation.visual	skill.character.jihan.3.passive_1.blood_qi_circulation	root	H-B	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G3	NR	signature60-82_aux18-40_other0
skill.strategic.blood_meridian_release.visual	skill.strategic.blood_meridian_release	root	H-B	SB	blood_redbrown	#8F4540	meridian_teal	#57948C	GX	R	signature60-82_aux18-40_other0
skill.strategic.emergency_pill.visual	skill.strategic.emergency_pill	root	H-R	SM	medicine_ochre	#9A7B4D	herb_jade	#68A98B	GX	R	signature60-82_aux18-40_other0
skill.strategic.gale_step.visual	skill.strategic.gale_step	root	H-M	SW	wind_graygreen	#688270	dry_grass_amber	#B58B4E	GX	R	signature60-82_aux18-40_other0
skill.strategic.ironbody_call.visual	skill.strategic.ironbody_call	root	H-B	SN	neutral_ironink	#4E5A5E	restrained_rust	#A75D49	GX	R	signature60-82_aux18-40_other0
skill.strategic.taeul_healing_formation.visual	skill.strategic.taeul_healing_formation	root	H-R	SM	medicine_ochre	#9A7B4D	herb_jade	#68A98B	GX	R	signature60-82_aux18-40_other0
skill.character.yujin.1.passive_1.passive_1.visual	skill.character.yujin.1.passive_1.passive_1	root	H-B	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G1	NR	signature60-82_aux18-40_other0
skill.character.yujin.2.passive_1.passive_1.visual	skill.character.yujin.2.passive_1.passive_1	root	H-B	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G2	NR	signature60-82_aux18-40_other0
skill.character.abandoned_shrine_wraith.2.active_1.lost_child_cry.visual	skill.character.abandoned_shrine_wraith.2.active_1.lost_child_cry	root	G-C	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G2	NR	signature60-82_aux18-40_other0
skill.character.cage_guard_bandit.2.passive_1.block_the_cage.visual	skill.character.cage_guard_bandit.2.passive_1.block_the_cage	root	G-A	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	NR	signature60-82_aux18-40_other0
skill.character.hut_blocker_guard.2.passive_1.hold_the_exit.visual	skill.character.hut_blocker_guard.2.passive_1.hold_the_exit	root	G-A	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	NR	signature60-82_aux18-40_other0
skill.character.marked_pack_leader.2.active_1.pack_howl.visual	skill.character.marked_pack_leader.2.active_1.pack_howl	root	G-S	EB	earth_fur	#77624B	wound_breath_rust	#B65B47	G2	NR	signature60-82_aux18-40_other0
skill.character.nameless_tablet_guardian.3.active_1.altar_root.visual	skill.character.nameless_tablet_guardian.3.active_1.altar_root	root	G-C	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	NR	signature60-82_aux18-40_other0
skill.character.nameless_tablet_guardian.3.passive_1.grudge_shell.visual	skill.character.nameless_tablet_guardian.3.passive_1.grudge_shell	root	G-A	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	NR	signature60-82_aux18-40_other0
skill.character.red_doll_hexer.2.active_1.red_doll_slow.visual	skill.character.red_doll_hexer.2.active_1.red_doll_slow	root	G-C	EX	ritual_red	#A8444F	muted_violet	#86669A	G2	NR	signature60-82_aux18-40_other0
skill.character.ritual_bell_handler.2.active_1.agitate_caged_beasts.visual	skill.character.ritual_bell_handler.2.active_1.agitate_caged_beasts	root	G-S	EX	ritual_red	#A8444F	muted_violet	#86669A	G2	NR	signature60-82_aux18-40_other0
skill.character.sangui_abandoned_child.3.active_1.cold_mountain_call.visual	skill.character.sangui_abandoned_child.3.active_1.cold_mountain_call	root	G-S	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	NR	signature60-82_aux18-40_other0
skill.character.sangui_abandoned_child.3.active_2.why_only_me.visual	skill.character.sangui_abandoned_child.3.active_2.why_only_me	root	G-C	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	NR	signature60-82_aux18-40_other0
skill.character.sangui_abandoned_child.3.passive_1.left_alone_again.visual	skill.character.sangui_abandoned_child.3.passive_1.left_alone_again	root	G-A	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	NR	signature60-82_aux18-40_other0
skill.character.seojin.1.passive_1.indomitable.visual	skill.character.seojin.1.passive_1.indomitable	root	G-A	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G1	NR	signature60-82_aux18-40_other0
skill.character.seojin.2.active_2.crane_wing_formation.visual	skill.character.seojin.2.active_2.crane_wing_formation	root	G-F	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G2	R	signature60-82_aux18-40_other0
skill.character.seojin.2.passive_1.indomitable.visual	skill.character.seojin.2.passive_1.indomitable	root	G-A	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G2	NR	signature60-82_aux18-40_other0
skill.character.seojin.3.active_2.crane_wing_formation.visual	skill.character.seojin.3.active_2.crane_wing_formation	root	G-F	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G3	R	signature60-82_aux18-40_other0
skill.character.seojin.3.passive_1.indomitable.visual	skill.character.seojin.3.passive_1.indomitable	root	G-A	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G3	NR	signature60-82_aux18-40_other0
skill.character.yujin.3.active_3.outlaw_appearance.visual	skill.character.yujin.3.active_3.outlaw_appearance	root	G-S	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.yujin.3.clone.active_2.hwalbin_barrage.visual	skill.character.yujin.3.clone.active_2.hwalbin_barrage	root	G-S	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	R	signature60-82_aux18-40_other0
skill.character.yujin.3.clone.basic_attack.basic_attack.visual	skill.character.yujin.3.clone.basic_attack.basic_attack	root	G-S	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	NR	signature60-82_aux18-40_other0
skill.character.yujin.3.clone.passive_1.passive_1.visual	skill.character.yujin.3.clone.passive_1.passive_1	root	G-S	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	NR	signature60-82_aux18-40_other0
skill.character.yujin.3.passive_1.passive_1.visual	skill.character.yujin.3.passive_1.passive_1	root	G-S	YJ	ink_bluegray	#496A82	cold_feather_metal	#86B9C8	G3	NR	signature60-82_aux18-40_other0
skill.strategic.demon_lure_incense.visual	skill.strategic.demon_lure_incense	root	G-C	SG	ghost_ink	#455E60	muted_jade	#65A78F	GX	R	signature60-82_aux18-40_other0
skill.strategic.frost_spirit_formation.visual	skill.strategic.frost_spirit_formation	root	G-F	SI	frost_stoneblue	#5F8295	cold_cyan	#76B9C8	GX	R	signature60-82_aux18-40_other0
skill.strategic.ghost_soul_charm.visual	skill.strategic.ghost_soul_charm	root	G-C	SG	ghost_ink	#455E60	muted_jade	#65A78F	GX	R	signature60-82_aux18-40_other0
skill.strategic.golden_chain_formation.visual	skill.strategic.golden_chain_formation	root	G-C	SO	aged_bronze	#967344	rope_rust	#A95B43	GX	R	signature60-82_aux18-40_other0
skill.strategic.night_parade_of_a_thousand_ghosts.visual	skill.strategic.night_parade_of_a_thousand_ghosts	root	G-S	SG	ghost_ink	#455E60	muted_jade	#65A78F	GX	R	signature60-82_aux18-40_other0
skill.strategic.soul_snare_formation.visual	skill.strategic.soul_snare_formation	root	G-C	SG	ghost_ink	#455E60	muted_jade	#65A78F	GX	R	signature60-82_aux18-40_other0
skill.strategic.wind_demon_pull.visual	skill.strategic.wind_demon_pull	root	G-C	SW	wind_graygreen	#688270	dry_grass_amber	#B58B4E	GX	R	signature60-82_aux18-40_other0
skill.character.seojin.3.turtle_ship_cannon_zone.visual.base	skill.character.seojin.3.active_3.turtle_ship_assault	typed_child	I-X+G-F	SJ	seojin_navy	#294A68	artillery_rust	#C65743	G3	R	signature50-72_aux25-47_other0
